VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
0, 42207,  30.90063,  2.01366,  163.59055,  0.00,  0.00,  1.00,  1.00,  0.00,  0.00,  1.00, -1.00,  0.99655,  0.71401,  0.99655,  0.71401,  1.00,  1.00,  1.00,  0.49804, 27, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
1, 42208,  29.13884,  3.84601,  163.59055,  0.00,  0.00,  1.00,  1.00,  0.00,  0.00,  1.00, -1.00,  0.94284,  0.71366,  0.94284,  0.71366,  1.00,  1.00,  1.00,  0.49804, 27, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
2, 42209,  30.90851,  5.04498,  163.59055,  0.00,  0.00,  1.00,  1.00,  0.00,  0.00,  1.00, -1.00,  0.9502,  0.75823,  0.9502,  0.75823,  1.00,  1.00,  1.00,  0.49804, 27, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
3, 42210, -30.90851,  5.04498,  163.59055,  0.00,  0.00,  1.00,  1.00,  0.00,  0.00,  1.00,  1.00,  0.9502,  0.75823,  0.9502,  0.75823,  1.00,  1.00,  1.00,  0.49804, 28, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
4, 42211, -29.13884,  3.84601,  163.59055,  0.00,  0.00,  1.00,  1.00,  0.00,  0.00,  1.00,  1.00,  0.94284,  0.71366,  0.94284,  0.71366,  1.00,  1.00,  1.00,  0.49804, 28, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
5, 42212, -30.90063,  2.01366,  163.59055,  0.00,  0.00,  1.00,  1.00,  0.00,  0.00,  1.00,  1.00,  0.99655,  0.71401,  0.99655,  0.71401,  1.00,  1.00,  1.00,  0.49804, 28, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
6, 42213,  15.79377,  20.34897, -0.01082,  0.75591,  0.62992, -0.16535,  1.00,  0.58268,  0.80315, -0.14173,  1.00,  0.28847,  0.82258,  0.28847,  0.82258,  1.00,  1.00,  1.00,  0.56078, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
7, 42214,  17.82076,  18.34658,  1.62534,  0.75591,  0.62992, -0.16535,  1.00,  0.81102,  0.58268, -0.10236, -1.00,  0.3119,  0.76917,  0.3119,  0.76917,  1.00,  1.00,  1.00,  0.56078, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
8, 42215,  16.02522,  20.44934,  1.44637,  0.75591,  0.62992, -0.16535,  1.00,  0.5748,  0.81102, -0.12598,  1.00,  0.27408,  0.80062,  0.27408,  0.80062,  1.00,  1.00,  1.00,  0.74902, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
9, 42216,  17.62036,  18.16431, -0.00463,  0.75591,  0.62992, -0.16535,  1.00,  0.7874,  0.6063, -0.11811, -1.00,  0.32931,  0.79278,  0.32931,  0.79278,  1.00,  1.00,  1.00,  0.56078, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
10, 42214,  17.82076,  18.34658,  1.62534,  0.75591,  0.62992, -0.16535,  1.00,  0.81102,  0.58268, -0.10236, -1.00,  0.3119,  0.76917,  0.3119,  0.76917,  1.00,  1.00,  1.00,  0.56078, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
11, 42213,  15.79377,  20.34897, -0.01082,  0.75591,  0.62992, -0.16535,  1.00,  0.58268,  0.80315, -0.14173,  1.00,  0.28847,  0.82258,  0.28847,  0.82258,  1.00,  1.00,  1.00,  0.56078, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
12, 42217,  10.53078,  21.96519,  1.44235,  0.14961,  0.98425, -0.11811,  1.00, -0.01575,  0.99213, -0.12598,  1.00,  0.37235,  0.80886,  0.37235,  0.80886,  1.00,  1.00,  1.00,  0.74902, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
13, 42218,  13.33648,  21.86307,  4.2115,  0.14961,  0.98425, -0.11811,  1.00,  0.28346,  0.95276, -0.11024, -1.00,  0.43053,  0.78651,  0.43053,  0.78651,  1.00,  1.00,  1.00,  0.74902, 0, 1, 0, 0,  0.52549,  0.47451,  0.00,  0.00
14, 42219,  10.52732,  22.29798,  4.19071,  0.14961,  0.98425, -0.11811,  1.00, -0.01575,  0.99213, -0.11811,  1.00,  0.38935,  0.76854,  0.38935,  0.76854,  1.00,  1.00,  1.00,  0.74902, 0, 1, 0, 0,  0.52549,  0.47451,  0.00,  0.00
