VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
0, 0,  0.75, -10.74403,  11.13036,  0.88976,  0.03937,  0.45669,  1.00, -0.14173, -0.99213,  0.0315, -1.00,  0.3599,  0.23247,  1.00,  1.00,  0.49804,  0.89804,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
1, 1,  0.46512, -10.67659,  11.90142,  0.9685, -0.08661,  0.22835,  1.00, -0.14173, -0.99213,  0.0315, -1.00,  0.36696,  0.21168,  1.00,  1.00,  0.49804,  0.89804,  1.00,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
2, 2,  0.46495, -10.66148,  12.34586,  0.93701,  0.04724,  0.35433,  1.00, -0.14173, -0.99213,  0.0315, -1.00,  0.36132,  0.21272,  1.00,  1.00,  1.00,  0.89804,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
3, 3,  0.49291, -6.45192,  5.71303,  0.67717, -0.64567,  0.35433,  1.00,  0.67717, -0.33071,  0.65354,  1.00,  0.30274,  0.25459,  1.00,  1.00,  1.00,  0.89804,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
4, 4,  0.49291, -6.01575,  5.93505,  0.46457,  0.22047,  0.85827,  1.00,  0.67717, -0.33071,  0.65354, -1.00,  0.29843,  0.24983,  1.00,  1.00,  1.00,  0.89804,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
5, 5,  0.75, -5.98759,  5.68236,  0.93701,  0.05512,  0.33858,  1.00,  0.67717, -0.33071,  0.65354, -1.00,  0.29843,  0.25622,  1.00,  1.00,  1.00,  0.89804,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
6, 6,  0.75, -14.29097,  11.13036,  0.87402, -0.03937,  0.48819,  1.00, -0.23622,  0.9685,  0.03937,  1.00,  0.21712,  0.0249,  1.00,  1.00,  0.49804,  0.89804,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
7, 7,  0.46495, -14.406,  12.3513,  0.92913, -0.04724,  0.37008,  1.00, -0.23622,  0.9685,  0.03937,  1.00,  0.216,  0.00652,  1.00,  1.00,  1.00,  0.89804,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
8, 8,  0.46511, -14.38964,  11.90683,  0.9685,  0.09449,  0.22835,  1.00, -0.23622,  0.9685,  0.03937,  1.00,  0.21062,  0.00533,  1.00,  1.00,  0.49804,  0.89804,  1.00,  0.00, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
9, 9,  0.75, -5.98759, -5.68236,  0.93701,  0.05512, -0.33858,  1.00,  0.67717, -0.33071, -0.65354,  1.00,  0.29843,  0.25622,  1.00,  1.00,  1.00,  0.89804,  1.00,  0.49804, 0, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
