VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
0, 26961,  11.24141,  11.15652,  96.31494,  0.61417, -0.26772,  0.74016,  1.00,  0.76378,  0.51181,  0.3937,  1.00,  0.6631,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 5, 0, 0,  0.97647,  0.02353,  0.00,  0.00
1, 26962,  10.33027,  11.52543,  97.60814,  0.8189, -0.22047,  0.52756,  1.00,  0.88189, -0.13386,  0.45669,  1.00,  0.66311,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 1, 0, 0,  0.51765,  0.48235,  0.00,  0.00
2, 26963,  11.08686,  11.51434,  96.15364,  0.62205, -0.09449,  0.77953,  1.00,  0.88189, -0.13386,  0.45669,  1.00,  0.6631,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 5, 0, 0,  0.97647,  0.02353,  0.00,  0.00
3, 26964,  15.83763, -14.15751,  98.00952,  0.29921,  0.5748,  0.75591,  1.00,  0.19685,  0.51181,  0.83465, -1.00,  0.6635,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
4, 26965,  17.00099, -13.30736,  97.21641,  0.18898,  0.66929,  0.71654,  1.00,  0.19685,  0.51181,  0.83465, -1.00,  0.66351,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 8, 0, 0,  0.80,  0.20,  0.00,  0.00
5, 26966,  15.89737, -14.49071,  98.3707,  0.41732,  0.43307,  0.79528,  1.00, -0.06299,  0.72441,  0.68504,  1.00,  0.6635,  0.34213,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 9, 0, 0, 0,  1.00,  0.00,  0.00,  0.00
6, 26967,  11.08686,  11.51434,  96.15364,  0.62205, -0.09449,  0.77953,  1.00,  0.88189, -0.13386,  0.45669, -1.00,  0.6631,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 5, 0, 0,  0.97647,  0.02353,  0.00,  0.00
7, 26968,  10.33027,  11.52543,  97.60814,  0.8189, -0.22047,  0.52756,  1.00,  0.88189, -0.13386,  0.45669, -1.00,  0.66311,  0.34221,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 5, 1, 0, 0,  0.51765,  0.48235,  0.00,  0.00
8, 26969,  11.28975,  11.79568,  96.39773,  0.66929, -0.23622,  0.70866,  1.00,  0.61417, -0.72441,  0.32283, -1.00,  0.6631,  0.34222,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 5, 0, 0,  0.96078,  0.03922,  0.00,  0.00
9, 26970,  9.32783,  11.88151,  94.62136, -0.84252,  0.37795, -0.38583,  1.00, -0.79528,  0.25197, -0.55118,  1.00,  0.66311,  0.34216,  1.00,  1.00,  0.49804,  1.00,  1.00,  0.39608, 1, 5, 0, 0,  0.96863,  0.03137,  0.00,  0.00
