VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE7.x, ATTRIBUTE7.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE14.x, ATTRIBUTE14.y, ATTRIBUTE14.z, ATTRIBUTE14.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w, ATTRIBUTE15.x, ATTRIBUTE15.y, ATTRIBUTE15.z, ATTRIBUTE15.w
0, 0, -8.93049, -1.71938,  0.40025,  0.11024,  0.03937, -0.99213,  1.00,  0.2126, -0.12598, -0.9685, -1.00,  0.38656,  0.96009,  0.35191,  0.32254,  0.38656,  0.96009,  1.00,  0.20,  1.00,  0.49804, 10, 12, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
1, 1, -6.85188, -1.67138,  0.79245,  0.4252,  0.08661, -0.90551,  1.00,  0.48031, -0.11811, -0.86614, -1.00,  0.38656,  0.958,  0.43454,  0.36132,  0.38656,  0.958,  1.00,  0.20,  1.00,  0.49804, 10, 12, 0, 0, 0, 0, 0, 0,  0.90196,  0.09804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
2, 2, -9.01875,  2.11804,  0.59802,  0.19685,  0.06299, -0.97638,  1.00,  0.18898, -0.04724, -0.98425, -1.00,  0.39151,  0.9606,  0.43058,  0.16162,  0.39151,  0.9606,  1.00,  0.20,  1.00,  0.49804, 10, 12, 0, 0, 0, 0, 0, 0,  0.94118,  0.05882,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
3, 3, -14.31967,  2.77002,  8.10068, -0.96063,  0.17323,  0.20472,  1.00, -0.96063,  0.19685,  0.1811,  1.00,  0.31632,  0.98257,  1.2998,  0.27272,  0.31632,  0.98257,  1.00,  0.20,  1.00,  0.49804, 10, 12, 0, 0, 0, 0, 0, 0,  0.58039,  0.41961,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
4, 4, -14.81352, -0.03435,  9.38288, -0.97638,  0.2126,  0.02362,  1.00, -0.99213,  0.07087,  0.12598,  1.00,  0.31777,  0.97558,  1.21016,  0.27687,  0.31777,  0.97558,  1.00,  0.20,  1.00,  0.49804, 10, 12, 0, 0, 0, 0, 0, 0,  0.50196,  0.49804,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
5, 5, -14.8826, -1.60994,  5.58202, -0.99213, -0.05512,  0.13386,  1.00, -0.98425, -0.1811,  0.00787,  1.00,  0.31503,  0.97724,  1.22869,  0.39773,  0.31503,  0.97724,  1.00,  0.20,  1.00,  0.49804, 10, 12, 0, 0, 0, 0, 0, 0,  0.97255,  0.02745,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
6, 6, -6.47653,  0.63104,  9.38412,  0.98425,  0.06299,  0.15748,  1.00,  0.97638,  0.14961,  0.15748,  1.00,  0.36191,  0.97846,  0.18379,  0.22931,  0.36191,  0.97846,  1.00,  0.20,  1.00,  0.49804, 12, 10, 11, 0, 0, 0, 0, 0,  0.65098,  0.23137,  0.11765,  0.00,  0.00,  0.00,  0.00,  0.00
7, 7, -6.44939,  0.37914,  10.45266,  0.95276,  0.29134,  0.09449,  1.00,  0.96063,  0.22047,  0.1811, -1.00,  0.36143,  0.97103,  0.20348,  0.15722,  0.36143,  0.97103,  1.00,  0.20,  1.00,  0.49804, 12, 11, 0, 0, 0, 0, 0, 0,  0.84314,  0.15686,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
8, 8, -7.26147,  2.46563,  11.11247,  0.88976,  0.22047,  0.3937,  1.00,  0.85827,  0.43307,  0.26772,  1.00,  0.35292,  0.96388,  0.1338,  0.10498,  0.35292,  0.96388,  1.00,  0.20,  1.00,  0.49804, 10, 12, 11, 0, 0, 0, 0, 0,  0.60392,  0.33725,  0.05882,  0.00,  0.00,  0.00,  0.00,  0.00
9, 9, -6.56225,  0.19703,  11.39137,  0.92126,  0.28346,  0.25197,  1.00,  0.96063,  0.23622,  0.16535, -1.00,  0.36128,  0.96388,  0.21652,  0.09899,  0.36128,  0.96388,  1.00,  0.20,  1.00,  0.49804, 12, 11, 0, 0, 0, 0, 0, 0,  0.84314,  0.15686,  0.00,  0.00,  0.00,  0.00,  0.00,  0.00
