VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
0, 21557, -4.0628, -126.68409,  29.83332, -0.97638,  0.07874, -0.20472,  1.00, -0.98425,  0.05512, -0.1811,  1.00,  0.09083,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.68235,  0.22745,  0.0902,  0.00
1, 21558, -4.02488, -125.94405,  29.83332, -0.97638,  0.04724, -0.19685,  1.00, -0.98425,  0.05512, -0.1811, -1.00,  0.09222,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.68627,  0.21961,  0.09412,  0.00
2, 21559, -4.52408, -125.87382,  32.38085, -0.99213,  0.00787, -0.13386,  1.00, -0.98425,  0.04724, -0.17323, -1.00,  0.09222,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.6902,  0.21569,  0.09412,  0.00
3, 21560, -4.27228, -127.31462,  30.45765, -0.99213,  0.01575, -0.14173,  1.00, -0.98425,  0.03937, -0.16535, -1.00,  0.08935,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.67843,  0.23529,  0.08627,  0.00
4, 21557, -4.0628, -126.68409,  29.83332, -0.97638,  0.07874, -0.20472,  1.00, -0.98425,  0.05512, -0.1811,  1.00,  0.09083,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.68235,  0.22745,  0.0902,  0.00
5, 21559, -4.52408, -125.87382,  32.38085, -0.99213,  0.00787, -0.13386,  1.00, -0.98425,  0.04724, -0.17323, -1.00,  0.09222,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.6902,  0.21569,  0.09412,  0.00
6, 21559, -4.52408, -125.87382,  32.38085, -0.99213,  0.00787, -0.13386,  1.00, -0.98425,  0.04724, -0.17323, -1.00,  0.09222,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.6902,  0.21569,  0.09412,  0.00
7, 21561, -4.52408, -130.7953,  32.59728, -0.99213, -0.00787, -0.12598,  1.00, -0.99213,  0.00787, -0.14173, -1.00,  0.08667,  0.68891,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.6549,  0.27451,  0.07059,  0.00
8, 21560, -4.27228, -127.31462,  30.45765, -0.99213,  0.01575, -0.14173,  1.00, -0.98425,  0.03937, -0.16535, -1.00,  0.08935,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.67843,  0.23529,  0.08627,  0.00
9, 21560, -4.27228, -127.31462,  30.45765, -0.99213,  0.01575, -0.14173,  1.00, -0.98425,  0.03937, -0.16535, -1.00,  0.08935,  0.69591,  1.00,  1.00,  1.00,  0.00, 1, 2, 0, 0,  0.67843,  0.23529,  0.08627,  0.00
