VTX, IDX, ATTRIBUTE0.x, ATTRIBUTE0.y, ATTRIBUTE0.z, ATTRIBUTE1.x, ATTRIBUTE1.y, ATTRIBUTE1.z, ATTRIBUTE1.w, ATTRIBUTE2.x, ATTRIBUTE2.y, ATTRIBUTE2.z, ATTRIBUTE2.w, ATTRIBUTE5.x, ATTRIBUTE5.y, ATTRIBUTE6.x, ATTRIBUTE6.y, ATTRIBUTE13.x, ATTRIBUTE13.y, ATTRIBUTE13.z, ATTRIBUTE13.w, ATTRIBUTE3.x, ATTRIBUTE3.y, ATTRIBUTE3.z, ATTRIBUTE3.w, ATTRIBUTE4.x, ATTRIBUTE4.y, ATTRIBUTE4.z, ATTRIBUTE4.w
0, 20389, -10.42537, -0.03635,  47.61863, -1.00,  0.00,  0.00,  1.00, -1.00,  0.00,  0.00, -1.00,  0.45737,  0.96716,  0.45737,  0.96716,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.9451,  0.0549,  0.00,  0.00
1, 20390, -10.43565,  3.41941,  51.8792, -1.00,  0.00,  0.00,  1.00, -1.00,  0.00,  0.00, -1.00,  0.52416,  0.91146,  0.52416,  0.91146,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.96078,  0.03922,  0.00,  0.00
2, 20391, -10.43605, -0.66665,  52.67805, -1.00,  0.00,  0.00,  1.00, -1.00,  0.00,  0.00, -1.00,  0.46325,  0.88643,  0.46325,  0.88643,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.94118,  0.05882,  0.00,  0.00
3, 20392,  10.43605, -31.4793,  34.23044,  1.00,  0.00,  0.00,  1.00,  1.00,  0.00,  0.00, -1.00,  0.64521,  0.93327,  0.64521,  0.93327,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.77255,  0.22745,  0.00,  0.00
4, 20393,  10.40455, -36.65115,  39.28985,  1.00,  0.00,  0.00,  1.00,  1.00,  0.00,  0.00, -1.00,  0.55024,  0.92435,  0.55024,  0.92435,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.73725,  0.26275,  0.00,  0.00
5, 20394,  10.42537, -30.84899,  39.28985,  1.00,  0.00,  0.00,  1.00,  1.00,  0.00,  0.00, -1.00,  0.60969,  0.87621,  0.60969,  0.87621,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.77647,  0.22353,  0.00,  0.00
6, 20395, -4.02497, -25.94383,  11.98553, -0.9685, -0.09449, -0.23622,  1.00, -0.9685, -0.09449, -0.23622, -1.00,  0.6091,  0.94177,  0.6091,  0.94177,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.79216,  0.20784,  0.00,  0.00
7, 20396, -3.82837, -16.40185,  7.36892, -0.9685, -0.09449, -0.23622,  1.00, -0.9685, -0.09449, -0.23622, -1.00,  0.56061,  0.92468,  0.56061,  0.92468,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.84706,  0.15294,  0.00,  0.00
8, 20397, -6.46325, -22.0505,  20.51431, -0.9685, -0.09449, -0.23622,  1.00, -0.9685, -0.09449, -0.23622, -1.00,  0.629,  0.88107,  0.629,  0.88107,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.82353,  0.17647,  0.00,  0.00
9, 20398,  10.3103, -39.72177,  42.43938,  1.00,  0.00, -0.00787,  1.00,  1.00,  0.00, -0.00787, -1.00,  0.50232,  0.1912,  0.50232,  0.1912,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.70196,  0.29804,  0.00,  0.00
10, 20399,  10.31937, -39.72197,  44.51364,  1.00,  0.00, -0.00787,  1.00,  1.00,  0.00, -0.00787,  1.00,  0.50232,  0.12963,  0.50232,  0.12963,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.70196,  0.29804,  0.00,  0.00
11, 20400,  10.31234, -38.13943,  42.43917,  1.00,  0.00, -0.00787,  1.00,  1.00,  0.00, -0.00787, -1.00,  0.55924,  0.19121,  0.55924,  0.19121,  1.00,  1.00,  1.00,  0.49804, 0, 1, 0, 0,  0.72157,  0.27843,  0.00,  0.00
